id,titulo,imagen,imagenes,categoria_id,categoria_nombre,subcategoria_id,subcategoria_nombre,producto_descripcion,precio,disponible 
LUG-FANCY-20-CELESTE,MALETA FANCY CELESTE,https://ekiipa.com/wp-content/uploads/2024/11/MALETA-FANCY-19-600x600.jpg,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"20 Pulgadas
Color: Celeste
4 ruedas
Entrada para USB y USB C
Portavasos
Porta celular
Compuerta externa para laptop
Material: ABS (polímero termoplástico)
Peso de maleta: 8 libras",599,1
LUG-FANCY-20-PINK,MALETA FANCY PINK,https://ekiipa.com/wp-content/uploads/2024/11/MALETA-FANCY-20-600x600.jpg,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"20 Pulgadas
Color: Celeste
4 ruedas
Entrada para USB y USB C
Portavasos
Porta celular
Compuerta externa para laptop
Material: ABS (polímero termoplástico)
Peso de maleta: 8 libras",599,1
KIDS-LUG-CONEJO-ROSA,MALETA CON RUEDAS CONEJO,https://ekiipa.com/wp-content/uploads/2024/10/KIDS-MALETA-PARA-NINOS-CONEJO-600x600.webp,,MALETAS,MALETAS,MALETAS_NIÑOS,MALETAS_NIÑOS,"4 ruedas
Medidas: 34x25x46 cm
Material: ABS (termoplástico)
Peso de maleta: 3.90 libras",199,1
KIDS-LUG-GATO,MALETA CON RUEDAS GATO,https://ekiipa.com/wp-content/uploads/2025/04/KIDS-MALETA-PARA-NINOS-GATO-600x600.jpg,,MALETAS,MALETAS,MALETAS_NIÑOS,MALETAS_NIÑOS,"4 ruedas
Medidas: 34x25x46 cm
Material: ABS (termoplástico)
Peso de maleta: 3.90 libras",199,1
KIDS-LUG-DINO-VERDE,MALETA CON RUEDAS DINO VERDE,https://ekiipa.com/wp-content/uploads/2024/10/KIDS-MALETA-PARA-NINOS-DINO-600x600.webp,,MALETAS,MALETAS,MALETAS_NIÑOS,MALETAS_NIÑOS,"4 ruedas
Medidas: 34x25x46 cm
Material: ABS (termoplástico)
Peso de maleta: 3.90 libras",199,1
KIDS-LUG-ICE,MALETA CON RUEDITAS ICE,https://ekiipa.com/wp-content/uploads/2024/04/H9994c1ddb476443a806e4377942e8cc4j-600x600.webp,,MALETAS,MALETAS,MALETAS_NIÑOS,MALETAS_NIÑOS,"4 ruedas
Medidas: 47 x 23.5 x 31 cm.",399,1
KIDS-LUG-REX,MALETA CON RUEDITAS REX,https://ekiipa.com/wp-content/uploads/2024/04/H35e1f23f030042e6be80e6ee85163234V-600x600.webp,,MALETAS,MALETAS,MALETAS_NIÑOS,MALETAS_NIÑOS,"4 ruedas
Medidas: 45 x 30 x 21 cm.",399,1
KIDS-LUG-BUNNY-WHT-20,MALETA BLANCA LUG BUNNY,https://ekiipa.com/wp-content/uploads/2024/04/Diseno-sin-titulo-2024-04-10T211556.771-600x600.webp,,MALETAS,MALETAS,MALETAS_NIÑOS,MALETAS_NIÑOS,"4 Ruedas
Material PVC
20 Pulgadas
Color blanco
Cerradura de combinación
Soporta peso de niños de hasta 10 años aproximadamente",499,1
KIDS-LUG-BUNNY-WHT-20,MALETA RIGIDA CARRY ON WALY GRIS 20,https://ekiipa.com/wp-content/uploads/2024/04/Diseno-sin-titulo-94-600x600.jpg,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"20 pulgadas
Color gris
4 rodos
Material: ABS (polímero termoplástico)
Peso de maleta: 3.52 libras
Capacidad estimada: 20 libras",349,1
LUG-WALY-GREY-24,MALETA RIGIDA MEDIANA WALY GRIS 24,https://ekiipa.com/wp-content/uploads/2024/04/Diseno-sin-titulo-2024-04-25T175931.123.webp,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"24 pulgadas
Color gris
4 rodos
Material: ABS (polímero termoplástico)
Peso de maleta: 5.60 libras
Capacidad estimada: 25 libras",399,1
LUG-WALY-GREY-28,MALETA RIGIDA GRANDE WALY GRIS 28,https://ekiipa.com/wp-content/uploads/2024/04/Diseno-sin-titulo-96-1-600x600.webp,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"28 pulgadas
Color gris
4 rodos
Material: ABS (polímero termoplástico)
Peso de maleta: 7.28 libras
Capacidad estimada: 38 libras",449,1
LUG-WALY-BLACK-20,MALETA RIGIDA CARRY ON WALY NEGRO 20,https://ekiipa.com/wp-content/uploads/2024/04/Diseno-sin-titulo-100-1-600x600.jpg,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"20 pulgadas
Color negro
4 rodos
Material: ABS (polímero termoplástico)
Peso de maleta: 3.52 libras
Capacidad estimada: 20 libras",349,1
LUG-WALY-BLACK-24,MALETA RIGIDA MEDIANA WALY NEGRO 24,https://ekiipa.com/wp-content/uploads/2024/04/Diseno-sin-titulo-99-1-600x600.jpg,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"24 pulgadas
Color negro
4 rodos
Material: ABS (polímero termoplástico)
Peso de maleta: 5.60 libras
Capacidad estimada: 25 libras",399,1
LUG-WALY-BLACK-28,MALETA RIGIDA GRANDE WALY NEGRO 28,https://ekiipa.com/wp-content/uploads/2024/04/H70a54e8a2ac44f2c8ce0dfcdc78316d08-600x600.webp,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"28 pulgadas
Color negro
4 rodos
Material: ABS (polímero termoplástico)
Peso de maleta: 7.28 libras
Capacidad estimada: 38 libras",449,1
 LUG-IVY-WHT-20,MALETA CARRY ON IVY BLANCO 20,https://ekiipa.com/wp-content/uploads/2024/04/HERNANDEZ-DIAZESTER-ALEJANDRA-5-600x600.jpg,,MALETAS,MALETAS,MALETAS_ADULTOS,MALETAS ADULTOS,"20 pulgadas
Color blanco
4 rodos
Porta vasos
Cargador USB
Material: ABS (polímero termoplástico)
Peso de maleta: 5.66 libras
Capacidad estimada: 20 libras",399,1
